,year-month,Number_of_Commits
1,2015-11,1
2,2015-12,1
3,2016-01,1
4,2016-02,1
5,2016-03,2
6,2016-04,0
7,2016-05,1
8,2016-06,0
9,2016-07,0
10,2016-08,0
11,2016-09,1
12,2016-10,0
13,2016-11,0
14,2016-12,0
15,2017-01,1
16,2017-02,0
17,2017-03,0
18,2017-04,0
19,2017-05,0
20,2017-06,0
21,2017-07,0
22,2017-08,0
23,2017-09,2
24,2017-10,2
25,2017-11,1
26,2017-12,1
27,2018-01,1
28,2018-02,1
29,2018-03,1
